Crop,Problem,Season,Location,Weather,Soil Type,Pest Type,Recommendation
Wheat,Nutrient deficiency,Winter,Region A,Hot,Black,None,Apply nitrogen-based fertilizer
Rice,Fungal disease,Summer,Region D,Humid,Clay,None,Use antifungal spray ABC
Wheat,Pest infestation,Summer,Region B,Rainy,Saline,Stink Bugs,Use appropriate pesticide XYZ based on pest type
Tomato,Drought,Spring,Region C,Rainy,Laterite,None,Increase irrigation frequency
Corn,Fungal disease,Autumn,Region D,Hot,Black,None,Use antifungal spray ABC
Potato,Nutrient deficiency,Summer,Region D,Humid,Silty,None,Apply nitrogen-based fertilizer
Rice,Pest infestation,Spring,Region A,Rainy,Sandy,Stink Bugs,Use appropriate pesticide XYZ based on pest type
Tomato,Pest infestation,Summer,Region A,Hot,Clay,Fruit Flies,Use appropriate pesticide XYZ based on pest type
Tomato,Nutrient deficiency,Winter,Region B,Dry,Laterite,None,Apply nitrogen-based fertilizer
Potato,Weed overgrowth,Autumn,Region B,Hot,Chalky,None,Manual weeding or herbicide application
Wheat,Nutrient deficiency,Summer,Region D,Rainy,Peaty,None,Apply nitrogen-based fertilizer
Tomato,Pest infestation,Winter,Region D,Hot,Chalky,Aphids,Use appropriate pesticide XYZ based on pest type
Rice,Weed overgrowth,Autumn,Region D,Dry,Clay,None,Manual weeding or herbicide application
Wheat,Fungal disease,Autumn,Region C,Humid,Loamy,None,Use antifungal spray ABC
Potato,Fungal disease,Winter,Region C,Rainy,Loamy,None,Use antifungal spray ABC
Wheat,Fungal disease,Winter,Region B,Rainy,Black,None,Use antifungal spray ABC
Rice,Nutrient deficiency,Winter,Region B,Hot,Saline,None,Apply nitrogen-based fertilizer
Wheat,Pest infestation,Summer,Region B,Humid,Saline,Cabbage Loopers,Use appropriate pesticide XYZ based on pest type
Potato,Drought,Summer,Region A,Rainy,Laterite,None,Increase irrigation frequency
Corn,Drought,Spring,Region A,Dry,Clay,None,Increase irrigation frequency
Corn,Pest infestation,Summer,Region C,Hot,Saline,Aphids,Use appropriate pesticide XYZ based on pest type
Tomato,Pest infestation,Winter,Region A,Rainy,Black,Armyworms,Use appropriate pesticide XYZ based on pest type
Tomato,Drought,Winter,Region C,Rainy,Loamy,None,Increase irrigation frequency
Potato,Drought,Autumn,Region B,Dry,Clay,None,Increase irrigation frequency
Potato,Drought,Summer,Region D,Rainy,Clay,None,Increase irrigation frequency
Tomato,Drought,Summer,Region D,Rainy,Laterite,None,Increase irrigation frequency
Tomato,Drought,Summer,Region D,Dry,Peaty,None,Increase irrigation frequency
Rice,Pest infestation,Spring,Region B,Hot,Peaty,Root-Knot Nematodes,Use appropriate pesticide XYZ based on pest type
Tomato,Pest infestation,Autumn,Region A,Rainy,Saline,Root-Knot Nematodes,Use appropriate pesticide XYZ based on pest type
Tomato,Drought,Spring,Region C,Hot,Silty,None,Increase irrigation frequency
Wheat,Fungal disease,Summer,Region B,Humid,Silty,None,Use antifungal spray ABC
Corn,Nutrient deficiency,Winter,Region C,Dry,Peaty,None,Apply nitrogen-based fertilizer
Rice,Pest infestation,Autumn,Region A,Humid,Chalky,Whiteflies,Use appropriate pesticide XYZ based on pest type
Corn,Pest infestation,Winter,Region D,Rainy,Chalky,Fruit Flies,Use appropriate pesticide XYZ based on pest type
Potato,Fungal disease,Spring,Region C,Humid,Silty,None,Use antifungal spray ABC
Corn,Nutrient deficiency,Spring,Region C,Humid,Loamy,None,Apply nitrogen-based fertilizer
Corn,Weed overgrowth,Summer,Region D,Dry,Saline,None,Manual weeding or herbicide application
Corn,Drought,Summer,Region C,Hot,Silty,None,Increase irrigation frequency
Tomato,Weed overgrowth,Winter,Region D,Humid,Black,None,Manual weeding or herbicide application
Rice,Drought,Summer,Region D,Dry,Sandy,None,Increase irrigation frequency
Tomato,Nutrient deficiency,Winter,Region C,Hot,Loamy,None,Apply nitrogen-based fertilizer
Potato,Weed overgrowth,Spring,Region C,Dry,Clay,None,Manual weeding or herbicide application
